,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
105,in the open,3.0,3.0,2009-01-01,3.8216511826099596e-07,3.844526822686963e-07,2616669.999999999,2601100.3333333335,325510.0,321078.5
106,in the open,10.0,10.0,2009-01-02,1.2157646746443524e-06,1.224177955321667e-06,822527.6,816874.7,57200.5,56680.0
107,in the open,4.0,4.0,2009-01-04,5.179923342314457e-07,5.216729686934922e-07,1930530.5,1916909.75,201243.0,198559.0
108,in the open,5.0,5.0,2009-01-05,6.256895098398436e-07,6.315497232359648e-07,1598236.7999999998,1583406.5999999999,141979.0,139822.0
109,in the open,8.0,8.0,2009-01-06,1.0014637644747504e-06,1.0099788434681764e-06,998538.375,990119.7500000001,72240.0,71321.5
110,in the open,12.0,12.0,2009-01-07,1.5080037297958915e-06,1.5228012843306032e-06,663128.3333333334,656684.5,40909.5,40382.0
111,in the open,9.0,9.0,2009-01-09,1.1402141626254521e-06,1.150682955905062e-06,877028.2222222221,869049.1111111111,58781.5,58052.5
112,in the open,6.0,6.0,2009-01-10,7.68851469172644e-07,7.747501688955369e-07,1300641.3333333333,1290738.6666666665,101937.0,100676.5
113,in the open,17.0,17.0,2009-01-11,2.220074119133356e-06,2.236581366961693e-06,450435.4117647059,447110.9411764707,24869.0,24634.0
114,in the open,10.0,10.0,2009-01-12,1.2666260501913241e-06,1.2791312549838153e-06,789498.9999999999,781780.6,50830.0,50086.0
115,in the open,18.0,18.0,2009-01-13,2.2280087184456716e-06,2.249376922592442e-06,448831.2777777778,444567.55555555556,23610.0,23389.5
116,in the open,8.0,8.0,2009-01-14,9.907854476405807e-07,1.001787564685736e-06,1009300.25,998215.6250000002,68517.0,67419.0
117,in the open,12.0,12.0,2009-01-15,1.4808215104132604e-06,1.4991151472843157e-06,675300.8333333333,667060.1666666665,41002.0,40209.0
118,in the open,6.0,6.0,2009-01-16,7.563431665088221e-07,7.64436868025708e-07,1322151.1666666667,1308152.5,100901.0,99333.5
119,in the open,12.0,12.0,2009-01-17,1.5511298947196437e-06,1.5657671117142215e-06,644691.3333333333,638664.5833333333,39502.0,38975.5
120,in the open,5.0,5.0,2009-01-18,6.536438158889308e-07,6.59963723114068e-07,1529885.2,1515234.7999999998,125808.0,123865.5
121,in the open,5.0,5.0,2009-01-19,6.288638969991368e-07,6.36684594855945e-07,1590169.2000000004,1570636.4000000001,129570.5,127164.0
122,in the open,24.0,22.0,2009-01-20,2.971584225840401e-06,2.7622942812723733e-06,336520.8333333334,362017.90909090906,17263.0,19029.0
123,in the open,13.0,13.0,2009-01-21,1.7086216522844534e-06,1.730508220978978e-06,585267.076923077,577864.923076923,33920.0,33283.0
124,in the open,10.0,10.0,2009-01-22,1.2810994908270071e-06,1.2979252405444848e-06,780579.5000000001,770460.4,49111.0,48212.0
125,in the open,9.0,9.0,2009-01-23,1.156294830514158e-06,1.1697078420722856e-06,864831.3333333334,854914.3333333333,56953.5,56039.0
126,in the open,13.0,13.0,2009-01-24,1.6753667603368519e-06,1.6903135024452988e-06,596884.2307692308,591606.2307692306,35594.5,35186.0
127,in the open,2.0,2.0,2009-01-25,2.6239990427651485e-07,2.6477812784388257e-07,3810977.000000001,3776747.0,526367.5,516459.5
128,in the open,10.0,9.0,2009-01-26,1.24280570845518e-06,1.132431154791637e-06,804631.0000000001,883055.8888888889,51559.5,58078.5
129,in the open,13.0,11.0,2009-01-27,1.57678697874758e-06,1.3525478743542046e-06,634201.0769230769,739345.3636363635,37165.0,45639.5
130,in the open,9.0,9.0,2009-01-28,1.095597984684027e-06,1.1113374946748412e-06,912743.5555555556,899816.6666666666,59859.5,58789.5
131,in the open,11.0,10.0,2009-01-29,1.368650147640024e-06,1.2610405678011705e-06,730646.9090909092,792995.8999999998,44521.5,49603.0
132,in the open,8.0,8.0,2009-01-30,1.0201215143244823e-06,1.0340494384206757e-06,980275.3750000002,967071.7499999999,74923.5,73548.5
133,in the open,19.0,19.0,2009-01-31,2.407472897240314e-06,2.4333729674291752e-06,415373.31578947365,410952.2105263157,21969.0,21657.0
134,in the open,15.0,15.0,2009-02-01,1.9702557063530896e-06,1.9906294436655187e-06,507548.3333333333,502353.6666666666,29738.0,29343.5
135,in the open,10.0,10.0,2009-02-02,1.2227989893321794e-06,1.2389722180303663e-06,817795.8999999999,807120.6,62510.0,61471.5
136,in the open,4.0,4.0,2009-02-03,5.001149639273328e-07,5.074996393580689e-07,1999540.25,1970444.7499999998,176608.5,172512.5
137,in the open,38.0,38.0,2009-02-04,4.636213979820024e-06,4.703067501518905e-06,215693.23684210528,212627.18421052632,8846.5,8701.0
138,in the open,8.0,8.0,2009-02-05,9.816074976162277e-07,9.958525232039862e-07,1018737.1249999998,1004164.75,74664.0,73204.5
139,in the open,10.0,10.0,2009-02-06,1.2193640869962625e-06,1.236698534326732e-06,820099.6,808604.5,51659.5,50658.0
140,in the open,8.0,8.0,2009-02-07,9.978257377175134e-07,1.0083516727293811e-06,1002179.0000000001,991717.5,69740.0,68764.5
141,in the open,3.0,3.0,2009-02-08,3.843395963178729e-07,3.8915174648060887e-07,2601865.666666667,2569691.666666667,261328.0,255546.0
142,in the open,3.0,3.0,2009-02-09,3.7097836268699633e-07,3.771411244487768e-07,2695574.9999999995,2651527.3333333335,266652.0,258493.0
143,in the open,8.0,8.0,2009-02-10,9.798411163133871e-07,9.971578508356558e-07,1020573.6249999999,1002850.2499999999,69485.0,67646.5
144,in the open,7.0,7.0,2009-02-11,8.70277114882174e-07,8.847174041986919e-07,1149059.2857142854,1130304.4285714284,83476.5,81611.5
145,in the open,6.0,6.0,2009-02-12,7.27596750358887e-07,7.40359592654152e-07,1374387.6666666667,1350695.0000000002,101808.5,99148.5
146,in the open,6.0,6.0,2009-02-13,7.54957427950638e-07,7.679564537972439e-07,1324577.9999999998,1302157.1666666665,99499.0,96968.5
147,in the open,3.0,3.0,2009-02-14,3.933866975501449e-07,3.981256773942515e-07,2542028.0000000005,2511769.6666666665,256460.5,250835.0
148,in the open,7.0,7.0,2009-02-15,9.30239851714452e-07,9.421087624190122e-07,1074991.5714285714,1061448.5714285716,76666.5,75168.5
149,in the open,7.0,7.0,2009-02-16,8.747778064371651e-07,8.898845425656564e-07,1143147.4285714284,1123741.285714286,81893.5,79864.0
150,in the open,5.0,5.0,2009-02-18,7.090299789219569e-07,7.221024735620232e-07,1410377.5999999996,1384845.0,109919.5,106969.0
